experiment_accession	run_accession	description
SRX5103455	SRR8288589	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103454	SRR8288590	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: Asymptomatic Subject
SRX5103453	SRR8288591	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_3,160 Shigella flexneri_3,160 Staphylococcus aureus_3,160 Plasmodium falciparum_3,160 Clostridium sporogenes_3,160 Cryptosporidium parvum_3,160 Staphylococcus epidermidis_3,160 Aspergillus fumigatus_3,160 Human mastadenovirus B_3,160 Escherichia coli_3,160 Bordetella pertussis_3,160 Salmonella enterica_3,160 Leishmania major_3,160 Pseudomonas aeruginosa_3,160
SRX5103445	SRR8288599	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103435	SRR8288608	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_32 Shigella flexneri_32 Staphylococcus aureus_32 Plasmodium falciparum_32 Clostridium sporogenes_32 Cryptosporidium parvum_32 Staphylococcus epidermidis_32 Aspergillus fumigatus_32 Human mastadenovirus B_32 Escherichia coli_32 Bordetella pertussis_32 Salmonella enterica_32 Leishmania major_32 Pseudomonas aeruginosa_32
SRX5103434	SRR8288609	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_32 Shigella flexneri_32 Staphylococcus aureus_32 Plasmodium falciparum_32 Clostridium sporogenes_32 Cryptosporidium parvum_32 Staphylococcus epidermidis_32 Aspergillus fumigatus_32 Human mastadenovirus B_32 Escherichia coli_32 Bordetella pertussis_32 Salmonella enterica_32 Leishmania major_32 Pseudomonas aeruginosa_32
SRX5103433	SRR8288611	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_32 Shigella flexneri_32 Staphylococcus aureus_32 Plasmodium falciparum_32 Clostridium sporogenes_32 Cryptosporidium parvum_32 Staphylococcus epidermidis_32 Aspergillus fumigatus_32 Human mastadenovirus B_32 Escherichia coli_32 Bordetella pertussis_32 Salmonella enterica_32 Leishmania major_32 Pseudomonas aeruginosa_32
SRX5103428	SRR8288616	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103425	SRR8288619	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103423	SRR8288621	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103419	SRR8288625	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103418	SRR8288626	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103415	SRR8288628	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_10,000 Shigella flexneri_10,000 Staphylococcus aureus_10,000 Plasmodium falciparum_10,000 Clostridium sporogenes_10,000 Cryptosporidium parvum_10,000 Staphylococcus epidermidis_10,000 Aspergillus fumigatus_10,000 Human mastadenovirus B_10,000 Escherichia coli_10,000 Bordetella pertussis_10,000 Salmonella enterica_10,000 Leishmania major_10,000 Pseudomonas aeruginosa_10,000
SRX5103413	SRR8288630	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_10,000 Shigella flexneri_10,000 Staphylococcus aureus_10,000
SRX5103417	SRR8288633	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_10,000 Shigella flexneri_10,000 Staphylococcus aureus_10,000 Plasmodium falciparum_10,000 Clostridium sporogenes_10,000 Cryptosporidium parvum_10,000 Staphylococcus epidermidis_10,000 Aspergillus fumigatus_10,000 Human mastadenovirus B_10,000 Escherichia coli_10,000 Bordetella pertussis_10,000 Salmonella enterica_10,000 Leishmania major_10,000 Pseudomonas aeruginosa_10,000
SRX5103410	SRR8288634	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_10,000 Shigella flexneri_10,000 Staphylococcus aureus_10,000
SRX5103407	SRR8288637	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: Asymptomatic Subject
SRX5103398	SRR8288646	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_10,000 Shigella flexneri_10,000 Staphylococcus aureus_10,000
SRX5103394	SRR8288650	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_100 Shigella flexneri_100 Staphylococcus aureus_100 Plasmodium falciparum_100 Clostridium sporogenes_100 Cryptosporidium parvum_100 Staphylococcus epidermidis_100 Aspergillus fumigatus_100 Human mastadenovirus B_100 Escherichia coli_100 Bordetella pertussis_100 Salmonella enterica_100 Leishmania major_100 Pseudomonas aeruginosa_100
SRX5103390	SRR8288654	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_316,000 Shigella flexneri_316,000 Staphylococcus aureus_316,000
SRX5103388	SRR8288656	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_31,600 Shigella flexneri_31,600 Staphylococcus aureus_31,600
SRX5103384	SRR8288660	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: Asymptomatic Subject
SRX5103383	SRR8288661	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103377	SRR8288667	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Plasmodium falciparum_1000 Clostridium sporogenes_1000 Cryptosporidium parvum_1000 Staphylococcus aureus_1000 Staphylococcus epidermidis_1000 Aspergillus fumigatus_1000 Escherichia coli_1000 Shigella flexneri_1000 Bordetella pertussis_1000 Salmonella enterica_1000 Leishmania major_1000 Human mastadenovirus B_1000 Mycobacterium tuberculosis_1000 Pseudomonas aeruginosa_1000
SRX5103371	SRR8288672	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Plasmodium falciparum_1000 Clostridium sporogenes_1000 Cryptosporidium parvum_1000 Staphylococcus aureus_1000 Staphylococcus epidermidis_1000 Aspergillus fumigatus_1000 Escherichia coli_1000 Shigella flexneri_1000 Bordetella pertussis_1000 Salmonella enterica_1000 Leishmania major_1000 Human mastadenovirus B_1000 Mycobacterium tuberculosis_1000 Pseudomonas aeruginosa_1000
SRX5103368	SRR8288676	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Plasmodium falciparum_1000 Clostridium sporogenes_1000 Cryptosporidium parvum_1000 Staphylococcus aureus_1000 Staphylococcus epidermidis_1000 Aspergillus fumigatus_1000 Escherichia coli_1000 Shigella flexneri_1000 Bordetella pertussis_1000 Salmonella enterica_1000 Leishmania major_1000 Human mastadenovirus B_1000 Mycobacterium tuberculosis_1000 Pseudomonas aeruginosa_1000
SRX5103364	SRR8288680	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: Asymptomatic Subject
SRX5103362	SRR8288682	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: Asymptomatic Subject
SRX5103358	SRR8288686	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103356	SRR8288688	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103355	SRR8288689	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103353	SRR8288691	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103348	SRR8288696	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103346	SRR8288698	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: Asymptomatic Subject
SRX5103341	SRR8288703	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103337	SRR8288707	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: Asymptomatic Subject
SRX5103333	SRR8288711	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: Asymptomatic Subject
SRX5103327	SRR8288717	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: Asymptomatic Subject
SRX5103325	SRR8288719	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: Asymptomatic Subject
SRX5103324	SRR8288720	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103321	SRR8288723	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_32 Shigella flexneri_32 Staphylococcus aureus_32 Plasmodium falciparum_32 Clostridium sporogenes_32 Cryptosporidium parvum_32 Staphylococcus epidermidis_32 Aspergillus fumigatus_32 Human mastadenovirus B_32 Escherichia coli_32 Bordetella pertussis_32 Salmonella enterica_32 Leishmania major_32 Pseudomonas aeruginosa_32
SRX5103315	SRR8288729	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_32 Shigella flexneri_32 Staphylococcus aureus_32 Plasmodium falciparum_32 Clostridium sporogenes_32 Cryptosporidium parvum_32 Staphylococcus epidermidis_32 Aspergillus fumigatus_32 Human mastadenovirus B_32 Escherichia coli_32 Bordetella pertussis_32 Salmonella enterica_32 Leishmania major_32 Pseudomonas aeruginosa_32
SRX5103314	SRR8288730	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103310	SRR8288734	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103309	SRR8288735	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: Asymptomatic Subject
SRX5103308	SRR8288736	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_316 Shigella flexneri_316 Staphylococcus aureus_316 Plasmodium falciparum_316 Clostridium sporogenes_316 Cryptosporidium parvum_316 Staphylococcus epidermidis_316 Aspergillus fumigatus_316 Human mastadenovirus B_316 Escherichia coli_316 Bordetella pertussis_316 Salmonella enterica_316 Leishmania major_316 Pseudomonas aeruginosa_316
SRX5103304	SRR8288740	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_316 Shigella flexneri_316 Staphylococcus aureus_316 Plasmodium falciparum_316 Clostridium sporogenes_316 Cryptosporidium parvum_316 Staphylococcus epidermidis_316 Aspergillus fumigatus_316 Human mastadenovirus B_316 Escherichia coli_316 Bordetella pertussis_316 Salmonella enterica_316 Leishmania major_316 Pseudomonas aeruginosa_316
SRX5103301	SRR8288743	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_316 Shigella flexneri_316 Staphylococcus aureus_316 Plasmodium falciparum_316 Clostridium sporogenes_316 Cryptosporidium parvum_316 Staphylococcus epidermidis_316 Aspergillus fumigatus_316 Human mastadenovirus B_316 Escherichia coli_316 Bordetella pertussis_316 Salmonella enterica_316 Leishmania major_316 Pseudomonas aeruginosa_316
SRX5103296	SRR8288748	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_316 Shigella flexneri_316 Staphylococcus aureus_316 Plasmodium falciparum_316 Clostridium sporogenes_316 Cryptosporidium parvum_316 Staphylococcus epidermidis_316 Aspergillus fumigatus_316 Human mastadenovirus B_316 Escherichia coli_316 Bordetella pertussis_316 Salmonella enterica_316 Leishmania major_316 Pseudomonas aeruginosa_316
SRX5103291	SRR8288753	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103290	SRR8288754	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103288	SRR8288756	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103285	SRR8288759	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103281	SRR8288763	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103276	SRR8288768	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_10 Shigella flexneri_10 Staphylococcus aureus_10 Plasmodium falciparum_10 Clostridium sporogenes_10 Cryptosporidium parvum_10 Staphylococcus epidermidis_10 Aspergillus fumigatus_10 Human mastadenovirus B_10 Escherichia coli_10 Bordetella pertussis_10 Salmonella enterica_10 Leishmania major_10 Pseudomonas aeruginosa_10
SRX5103269	SRR8288771	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103260	SRR8288784	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: Asymptomatic Subject
SRX5103257	SRR8288787	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: Asymptomatic Subject
SRX5103253	SRR8288791	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: Asymptomatic Subject
SRX5103249	SRR8288795	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: Asymptomatic Subject
SRX5103246	SRR8288798	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: Asymptomatic Subject
SRX5103244	SRR8288800	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: Asymptomatic Subject
SRX5103243	SRR8288801	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Staphylococcus aureus_10000 Staphylococcus epidermidis_0
SRX5103239	SRR8288805	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Staphylococcus aureus_10000 Staphylococcus epidermidis_0
SRX5103236	SRR8288808	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103234	SRR8288810	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Staphylococcus aureus_10000 Staphylococcus epidermidis_0
SRX5103233	SRR8288811	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103230	SRR8288815	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_316 Shigella flexneri_316 Staphylococcus aureus_316 Plasmodium falciparum_316 Clostridium sporogenes_316 Cryptosporidium parvum_316 Staphylococcus epidermidis_316 Aspergillus fumigatus_316 Human mastadenovirus B_316 Escherichia coli_316 Bordetella pertussis_316 Salmonella enterica_316 Leishmania major_316 Pseudomonas aeruginosa_316
SRX5103224	SRR8288820	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_316 Shigella flexneri_316 Staphylococcus aureus_316 Plasmodium falciparum_316 Clostridium sporogenes_316 Cryptosporidium parvum_316 Staphylococcus epidermidis_316 Aspergillus fumigatus_316 Human mastadenovirus B_316 Escherichia coli_316 Bordetella pertussis_316 Salmonella enterica_316 Leishmania major_316 Pseudomonas aeruginosa_316
SRX5103221	SRR8288823	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_316 Shigella flexneri_316 Staphylococcus aureus_316 Plasmodium falciparum_316 Clostridium sporogenes_316 Cryptosporidium parvum_316 Staphylococcus epidermidis_316 Aspergillus fumigatus_316 Human mastadenovirus B_316 Escherichia coli_316 Bordetella pertussis_316 Salmonella enterica_316 Leishmania major_316 Pseudomonas aeruginosa_316
